Year  ✓  Movie                                                                                               Source              
1940  ✓  The Philadelphia Story                                                                              Oscar               
1940  ✓  Kitty Foyle                                                                                         Oscar               
1940     The Westerner                                                                                       Oscar               
1940     The Great McGinty                                                                                   Oscar               
1940  ✓  Rebecca                                                                                             Oscar               
1940     The Letter                                                                                          Oscar               
1940  ✓  The Great Dictator                                                                                  Oscar               
1940     Abe Lincoln In Illinois                                                                             Oscar               
1940     Our Town                                                                                            Oscar               
1940  ✓  Foreign Correspondent                                                                               Oscar               
1940  ✓  All This, And Heaven Too                                                                            Oscar               
1940     They Knew What They Wanted                                                                          Oscar               
1940     Primrose Path                                                                                       Oscar               
1940     The Long Voyage Home                                                                                Oscar               
1940     Angels Over Broadway                                                                                Oscar               
1940     Dr. Ehrlich's Magic Bullet                                                                          Oscar               
1940  ✓  Pride & Prejudice                                                                                   Oscar               
1940     Arise, My Love                                                                                      Oscar               
1940  ✓  The Thief Of Bagdad                                                                                 Oscar               
1940     North West Mounted Police                                                                           Oscar               
1940     Quicker'n A Wink                                                                                    Oscar               
1940     Teddy, The Rough Rider                                                                              Oscar               
1940  ✓  Pinocchio                                                                                           Oscar               
1940     Tin Pan Alley                                                                                       Oscar               
1940     Strike Up The Band                                                                                  Oscar               
1940     The Milky Way                                                                                       Oscar               
1940  ✓  His Girl Friday                                                                                     Rotten Tomatoes     
1940     Fantasia                                                                                            Rotten Tomatoes     
1941     All That Money Can Buy                                                                              Oscar               
1941  ✓  How Green Was My Valley                                                                             Oscar               
1941  ✓  Dumbo                                                                                               Oscar               
1941  ✓  Sergeant York                                                                                       Oscar               
1941  ✓  Suspicion                                                                                           Oscar               
1941     The Great Lie                                                                                       Oscar               
1941  ✓  Here Comes Mr. Jordan                                                                               Oscar               
1941  ✓  Citizen Kane                                                                                        Oscar               
1941     The Little Foxes                                                                                    Oscar               
1941  ✓  Hold Back The Dawn                                                                                  Oscar               
1941  ✓  Blossoms In The Dust                                                                                Oscar               
1941     Ball Of Fire                                                                                        Oscar               
1941     Ladies In Retirement                                                                                Oscar               
1941     Sundown                                                                                             Oscar               
1941     The Chocolate Soldier                                                                               Oscar               
1941     Dr. Jekyll And Mr. Hyde                                                                             Oscar               
1941     Sun Valley Serenade                                                                                 Oscar               
1941     Back Street                                                                                         Oscar               
1941     Cheers For Miss Bishop                                                                              Oscar               
1941     King Of The Zombies                                                                                 Oscar               
1941     Lydia                                                                                               Oscar               
1941     Mercy Island                                                                                        Oscar               
1941     So Ends Our Night                                                                                   Oscar               
1941     Tanks A Million                                                                                     Oscar               
1941     That Uncertain Feeling                                                                              Oscar               
1941     This Woman Is Mine                                                                                  Oscar               
1941     All-American Co-Ed                                                                                  Oscar               
1941     Birth Of The Blues                                                                                  Oscar               
1941     Buck Privates                                                                                       Oscar               
1941     Ice-Capades                                                                                         Oscar               
1941     The Strawberry Blonde                                                                               Oscar               
1941     Sunny                                                                                               Oscar               
1941     You'll Never Get Rich                                                                               Oscar               
1941  ✓  The Maltese Falcon                                                                                  Oscar               
1941     One Foot In Heaven                                                                                  Oscar               
1941  ✓  Penny Serenade                                                                                      Oscar               
1941  ✓  The Devil And Miss Jones                                                                            Oscar               
1941     Tall, Dark And Handsome                                                                             Oscar               
1941     Tom, Dick And Harry                                                                                 Oscar               
1941  ✓  That Hamilton Woman                                                                                 Oscar               
1941     Blood And Sand                                                                                      Oscar               
1941     Churchill's Island                                                                                  Oscar               
1941     Of Pups And Puzzles                                                                                 Oscar               
